Body,Call,Procedure,Block,Title
1166,2022,1,1,"Marco constitucional español y Unión Europea"
1166,2022,1,2,"Actuación administrativa y gestión financiera"
1166,2022,1,3,"Estructura social y económica de España"
1166,2022,1,4,"Dirección pública"
1166,2022,2,1,"Organización y gestión de los sistemas de información"
1166,2022,2,1,"Tecnología básica"
1166,2022,2,1,"Ingeniería de los sistemas de información"
1166,2022,2,1,"Redes, comunicaciones e Internet"
1166,2023,1,1,"Marco constitucional español y Unión Europea"
1166,2023,1,2,"Actuación administrativa y gestión financiera"
1166,2023,1,3,"Estructura social y económica de España"
1166,2023,1,4,"Dirección pública"
1166,2023,2,1,"Organización y gestión de los sistemas de información"
1166,2023,2,1,"Tecnología básica"
1166,2023,2,1,"Ingeniería de los sistemas de información"
1166,2023,2,1,"Redes, comunicaciones e Internet"